Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
000-3-ชิ้น-100-บาท,11530,000 3 ชิ้น 100 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,100.00,,
000-ค่าห่อของขวัญ-10-บาท,11579,000 ค่าห่อของขวัญ 10 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,10.00,,
000-คูปอง-ห่อของขวัญฟรี-(กล่องสำเร็จ)-ถึงวันที่-10/1/2568,12804,000 คูปอง ห่อของขวัญฟรี (กล่องสําเร็จเล็ก) ถึงวันที่ 10/1/2568,,,N,,,,,,,0.00,,,,N,Y,0.00,,
0000-ชื่อ-......................................................,12809,0000 ชื่อ ......................................................,,,N,,,,,,,0.00,,,,N,Y,0.00,,
สายรุ้งปีใหม่-20-บาท(6แถม1),11519,000สายรุ้งปีใหม่ 20 บาท(6แถม1),ราคา,,N,,,,,,,0.00,,,,N,Y,120.00,,
สายรุ้งปีใหม่-25-บาท(6แถม1),11521,000สายรุ้งปีใหม่ 25 บาท(6แถม1),ราคา,,N,,,,,,,0.00,,,,N,Y,150.00,,
สายรุ้งปีใหม่-30-บาท(6แถม1),11520,000สายรุ้งปีใหม่ 30 บาท(6แถม1),ราคา,,N,,,,,,,0.00,,,,N,Y,180.00,,
000โหลละ-100-บาท,11522,000โหลละ 100 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,100.00,,
000โหลละ-105-บาท,11480,000โหลละ 105 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,105.00,,
000โหลละ-210-บาท,11482,000โหลละ 210 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,210.00,,
โหลละ-50-บาท,11479,000โหลละ 50 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,50.00,,
000โหลละ-55-บาท,11481,000โหลละ 55 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,55.00,,
1 บาท,10633,001 บาท,ราคา,,N,,,,,,,0.00,10001,,,Y,Y,1.00,9769.000,0.000
2 บาท,10634,002 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,2.00,9640.000,0.000
3 บาท,10635,003 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,3.00,9729.000,0.000
4 บาท,10636,004 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,4.00,9820.000,0.000
5 บาท,10637,005 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,5.00,3704.000,0.000
6 บาท,10638,006 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,6.00,9454.000,0.000
7 บาท,10639,007 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,7.00,9095.000,0.000
8 บาท,10640,008 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,8.00,9663.000,0.000
9 บาท,10641,009 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,9.00,9522.000,0.000
10 บาท,10642,010 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,10.00,2913.000,0.000
12 บาท,10643,012 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,12.00,8345.000,0.000
013-บาท,11115,013 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,13.00,,
014,11507,014 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,14.00,,
15 บาท,10644,015 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,15.00,4450.000,0.000
16 บาท,10645,016 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,16.00,9621.000,0.000
017,11242,017 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,17.00,,
18 บาท,10648,018 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,18.00,9781.000,0.000
19 บาท,10646,019 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,19.00,9717.000,0.000
20 บาท,10647,020 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,20.00,1441.000,0.000
22-บาท,11419,022 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,22.00,,
023-บาท,11116,023 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,23.00,,
24 บาท,10649,024 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,24.00,9834.000,0.000
25 บาท,10650,025 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,25.00,3849.000,0.000
027,11576,027 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,27.00,,
028,10987,028 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,28.00,99950.000,0.000
29 บาท,10651,029 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,29.00,7905.000,0.000
30 บาท,10652,030 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,30.00,7499.000,0.000
32 บาท,10653,032 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,32.00,9959.000,0.000
35 บาท,10654,035 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,35.00,7832.000,0.000
36 บาท,10726,036 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,36.00,9977.000,0.000
038,11318,038 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,38.00,,
39 บาท,10655,039 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,39.00,9003.000,0.000
40 บาท,10656,040 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,40.00,9356.000,0.000
42 บาท,10657,042 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,42.00,9981.000,0.000
044-บาท,13200,044 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,44.00,,
45 บาท,10658,045 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,45.00,9573.000,0.000
048-บาท,11117,048 บาท,ราคา,,N,,,,,,,0.00,,,,N,Y,48.00,,
49 บาท,10659,049 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,49.00,9691.000,0.000
50 บาท,10660,050 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,50.00,8831.000,0.000
52 บาท,10661,052 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,52.00,9990.000,0.000
55 บาท,10662,055 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,55.00,9768.000,0.000
56 บาท,10805,056 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,56.00,9997.000,0.000
59 บาท,10663,059 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,59.00,9380.000,0.000
60 บาท,10664,060 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,60.00,9362.000,0.000
65 บาท,10665,065 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,65.00,9909.000,0.000
69 บาท,10666,069 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,69.00,9658.000,0.000
70 บาท,10667,070 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,70.00,9838.000,0.000
75 บาท,10668,075 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,75.00,9902.000,0.000
79 บาท,10669,079 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,79.00,9669.000,0.000
80 บาท,10670,080 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,80.00,9705.000,0.000
85 บาท,10671,085 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,85.00,9973.000,0.000
89 บาท,10672,089 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,89.00,9971.000,0.000
90 บาท,10673,090 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,90.00,9632.000,0.000
95 บาท,10674,095 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,95.00,9989.000,0.000
99 บาท,10675,099 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,99.00,9833.000,0.000
100 บาท,10676,100 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,100.00,9282.000,0.000
105 บาท,10677,105 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,105.00,9991.000,0.000
109 บาท,10678,109 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,109.00,9958.000,0.000
110 บาท,10679,110 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,110.00,9942.000,0.000
115 บาท,10680,115 บาท,ราคา,,N,,,,,,,0.00,,,,Y,Y,115.00,9964.000,0.000
